house,year,name_jp,district,districttype,party_jp,party_id,party_en,result,experience,experience_lab,female,gender_lab,age,age_group,borninku,home_lab,educ_type,educ_lab,dynastic,dynastic_lab,busi_emp,busi_exec,celeb,bcrat,localbcrat,pref_assy,pref_gov,sec,magnitude,city_assy,anylocal_assy,mayor,district_jp,kana
HC,2013,鈴木正典,Gifu,SMD,共産党,5,JCP,0,0,No experience,0,Male,49,40-49,0,Born outside district,1,Local public university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,岐阜選挙区,スズキ マサノリ
HC,2013,大野泰正,Gifu,SMD,自民党,1,LDP,1,0,No experience,0,Male,54,50-59,1,Born inside district,2,Private university,3,Cabinet minister,1,0,0,0,0,1,0,1,1,0,1,0,岐阜選挙区,オオノ ヤスタダ
HC,2013,加納有輝彦,Gifu,SMD,幸福実現党,99,Other,0,0,No experience,0,Male,52,50-59,0,Born outside district,0,High school,0,None,1,0,0,0,0,0,0,0,1,0,0,0,岐阜選挙区,カノウ ユキヒコ
HC,2013,来住一人,Miyazaki,SMD,共産党,5,JCP,0,0,No experience,0,Male,68,60-69,1,Born inside district,0,High school,0,None,1,0,0,0,0,0,0,0,1,1,1,0,宮崎選挙区,ライジュウ カズヒト
HC,2013,道休誠一郎,Miyazaki,SMD,民主党,16,DPJ,0,1,"Formerly in office, 1 term",0,Male,60,60-69,1,Born inside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,宮崎選挙区,ドウキュウ セイイチロウ
HC,2013,長峯誠,Miyazaki,SMD,自民党,1,LDP,1,0,No experience,0,Male,43,40-49,1,Born inside district,2,Private university,2,National-level elected politician,0,0,0,0,0,1,0,1,1,0,1,1,宮崎選挙区,ナガミネ マコト
HC,2013,河野一郎,Miyazaki,SMD,幸福実現党,99,Other,0,0,No experience,0,Male,53,50-59,1,Born inside district,1,Local public university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,宮崎選挙区,コウノ イチロウ
HC,2013,岡崎トミ子,Miyazaki,MMD,民主党,16,DPJ,0,6,"Currently in office, 3+ terms",1,Female,69,60-69,0,Born outside district,0,High school,0,None,0,0,1,0,0,0,0,0,2,0,0,0,宮城選挙区,オカザキ トミコ
HC,2013,皀智子,Miyazaki,MMD,幸福実現党,99,Other,0,0,No experience,1,Female,41,40-49,0,Born outside district,0,High school,0,None,1,0,0,0,0,0,0,0,2,0,0,0,宮城選挙区,サイカチ ノリコ
HC,2013,岩渕彩子,Miyazaki,MMD,共産党,5,JCP,0,0,No experience,1,Female,30,Under_40,0,Born outside district,0,High school,0,None,1,0,0,0,0,0,0,0,2,0,0,0,宮城選挙区,イワブチ アヤコ
HC,2013,愛知治郎,Miyazaki,MMD,自民党,1,LDP,1,4,"Currently in office, 2 terms",0,Male,44,40-49,1,Born inside district,2,Private university,3,Cabinet minister,0,0,0,0,0,0,0,1,2,0,0,0,宮城選挙区,アイチ ジロウ
HC,2013,和田政宗,Miyazaki,MMD,みんなの党,99,Other,1,0,No experience,0,Male,38,Under_40,0,Born outside district,2,Private university,0,None,0,0,1,0,0,0,0,0,2,0,0,0,宮城選挙区,ワダ マサムネ
HC,2013,山内成介,Kyoto,MMD,日本維新の会,35,JIP,0,0,No experience,0,Male,47,40-49,1,Born inside district,1,Local public university,0,None,0,1,0,0,0,0,0,0,2,0,0,0,京都選挙区,ヤマウチ セイスケ
HC,2013,曽我周作,Kyoto,MMD,幸福実現党,99,Other,0,0,No experience,0,Male,34,Under_40,1,Born inside district,1,Local public university,0,None,1,0,0,0,0,0,0,0,2,0,0,0,京都選挙区,ソガ シュウサク
HC,2013,北神圭朗,Kyoto,MMD,民主党,16,DPJ,0,3,"Formerly in office, 2 terms",0,Male,46,40-49,0,Born outside district,1,Local public university,0,None,0,0,0,1,0,0,0,0,2,0,0,0,京都選挙区,キタガミ ケイロウ
HC,2013,新藤伸夫,Kyoto,MMD,諸派,99,Other,0,0,No experience,0,Male,64,60-69,1,Born inside district,1,Local public university,0,None,0,1,0,0,0,0,0,0,2,0,0,0,京都選挙区,シンドウ ノブオ
HC,2013,西田昌司,Kyoto,MMD,自民党,1,LDP,1,2,"Currently in office, 1 term",0,Male,54,50-59,1,Born inside district,1,Local public university,2,National-level elected politician,0,0,0,0,0,1,0,0,2,0,1,0,京都選挙区,ニシダ ショウジ
HC,2013,倉林明子,Kyoto,MMD,共産党,5,JCP,1,0,No experience,1,Female,52,50-59,0,Born outside district,1,Local public university,1,Local-level elected politician,0,0,0,0,0,1,0,0,2,1,1,0,京都選挙区,クラバヤシ アキコ
HC,2013,木下陽子,Kyoto,MMD,みんなの党,99,Other,0,0,No experience,1,Female,33,Under_40,1,Born inside district,2,Private university,0,None,0,1,0,0,0,0,0,0,2,0,0,0,京都選挙区,キノシタ ヨウコ
HC,2013,馬場成志,Kumamoto,SMD,自民党,1,LDP,1,0,No experience,0,Male,48,40-49,1,Born inside district,0,High school,1,Local-level elected politician,0,0,0,0,0,1,0,0,1,1,1,0,熊本選挙区,ババ セイシ
HC,2013,守田隆志,Kumamoto,SMD,幸福実現党,99,Other,0,0,No experience,0,Male,63,60-69,1,Born inside district,1,Local public university,0,None,0,0,0,0,1,0,0,0,1,0,0,0,熊本選挙区,モリタ タカシ
HC,2013,松野信夫,Kumamoto,SMD,民主党,16,DPJ,0,4,"Currently in office, 2 terms",0,Male,62,60-69,0,Born outside district,3,University of Tokyo,0,None,1,0,0,0,0,0,0,0,1,0,0,0,熊本選挙区,マツノ ノブオ
HC,2013,山本伸裕,Kumamoto,SMD,共産党,5,JCP,0,0,No experience,0,Male,50,50-59,1,Born inside district,1,Local public university,0,None,0,0,0,0,0,0,0,1,1,0,0,0,熊本選挙区,ヤマモト ノブヒロ
HC,2013,加賀谷富士子,Gunma,SMD,民主党,16,DPJ,0,0,No experience,1,Female,35,Under_40,1,Born inside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,群馬選挙区,カガヤ フジコ
HC,2013,安永陽,Gunma,SMD,幸福実現党,99,Other,0,0,No experience,0,Male,65,60-69,0,Born outside district,2,Private university,0,None,0,0,0,0,1,0,0,0,1,0,0,0,群馬選挙区,ヤスナガ アキラ
HC,2013,山本一太,Gunma,SMD,自民党,1,LDP,1,6,"Currently in office, 3+ terms",0,Male,55,50-59,1,Born inside district,2,Private university,3,Cabinet minister,0,0,0,1,0,0,0,0,1,0,0,0,群馬選挙区,ヤマモト イチタ
